Speaker,Raw_Answer,Cleaned_Answer
RESPONDENT 1,Saya mengetahui tentang Car Boot Sale melalui Facebook CMart Changlun.,car boot facebook cmart changlun
RESPONDENT 1,Facebook dan rakan saya banyak mempengaruhi keputusan untuk hadir.,facebook rakan keputusan
RESPONDENT 1,Saya tertarik kerana terdapat banyak promosi dan harga yang murah.,promosi harga
RESPONDENT 1,Saya suka suasana yang meriah dan banyak pilihan gerai,suasana pilihan gerai
RESPONDENT 1,Pengalaman terbaik ialah dapat membeli barangan dengan harga berpatutan.,pengalaman barangan harga
RESPONDENT 1,Tempat parking agak sesak dan cuaca agak panas.,tempat parking cuaca
RESPONDENT 1,"Ya, saya berkongsi maklumat melalui WhatsApp.",maklumat whatsapp
RESPONDENT 1,Saya berkongsi dengan keluarga dan kawan.,keluarga kawan
RESPONDENT 1,"Vendor makanan menarik perhatian kerana mesra pelanggan. Pelbagai jenis jualan seperti baju, barangan elektrik terpakai.",vendor makanan perhatian kerana pelanggan pelbagai jenis jualan baju barangan elektrik
RESPONDENT 1,"Tambahkan kawasan parking dan buat lebih banyak pertandingan seperti menyanyi, silat.",kawasan parking pertandingan silat
RESPONDENT 2,Saya mengetahui acara ini daripada rakan.,acara rakan
RESPONDENT 2,Kawan saya mengajak saya datang.,kawan
RESPONDENT 2,Saya ingin mencari barang murah dan unik.,barang
RESPONDENT 2,Banyak makanan viral dan harga berbaloi.,makanan harga berbaloi
RESPONDENT 2,Saya berjaya mendapatkan pakaian dengan harga murah.,pakaian harga
RESPONDENT 2,Saya harapkan lebih banyak jenis barang dijual di sini,jenis barang
RESPONDENT 2,"Ya, saya berkongsi di story Instagram.",story instagram
RESPONDENT 2,Gerai pakaian menarik kerana promosi yang baik.,gerai pakaian promosi
RESPONDENT 2,Perlu lebih banyakkan gerai supaya pengunjung ada lebih banyak pilihan.,perlu gerai pengunjung pilihan
RESPONDENT 3,Saya mengetahui tentang Car Boot Sale melalui TikTok dan juga poster yang dikongsi di Facebook CMart Changlun.,car boot sale tiktok poster facebook cmart changlun
RESPONDENT 3,Promosi di TikTok  dan rakan saya banyak mempengaruhi keputusan untuk hadir ke acara ini.,promosi tiktok rakan keputusan acara
RESPONDENT 3,"Saya tertarik kerana harga barang murah, banyak promosi menarik, dan suasana event nampak meriah di media sosial.",harga barang promosi suasana event meriah media sosial
RESPONDENT 3,"Saya suka suasana yang sangat meriah, banyak pilihan produk, dan vendor yang mesra pelanggan.",suasana produk vendor pelanggan
RESPONDENT 3,Pengalaman terbaik ialah dapat membeli barang dengan harga berbaloi serta berinteraksi dengan peniaga tempatan.,pengalaman barang harga berbaloi peniaga
RESPONDENT 3,"Tempat parking sangat sesak, kawasan agak panas, and ruang berjalan menjadi sempit apabila ramai orang.",tempat parking kawasan ruang sempit ramai orang
RESPONDENT 3,"Ya, saya berkongsi maklumat melalui TikTok, WhatsApp dan Instagram.",maklumat tiktok whatsapp instagram
RESPONDENT 3,Saya berkongsi dengan kawan-kawan universiti dan keluarga.,kawankawan universiti keluarga
RESPONDENT 3,Vendor makanan viral di TikTok sangat menarik perhatian saya kerana ramai orang berkongsi review positif.,vendor makanan tiktok perhatian ramai orang review
RESPONDENT 3,"Perlu tambah kawasan berbumbung, lebih banyak parking, dan buat promosi awal di media sosial. Mungkin boleh juga jemput artis tempatan untuk menarik minat pengunjung.",kawasan promosi media sosial artis minat pengunjung
